trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2347,0,7.200,9.500,644,16328,-2076
1,4190,0,7.200,9.500,656,16304,-2128
1,7190,0,7.200,9.500,680,16196,-2128
1,9190,0,7.200,9.500,728,16332,-2048
1,12190,0,7.200,9.500,856,16292,-2100
1,14190,0,7.200,9.500,908,16240,-2156
1,17190,0,7.200,9.500,796,16248,-2172
1,19190,0,7.200,9.500,724,16252,-2068
1,22190,0,7.200,9.500,724,16300,-1996
1,24190,0,7.200,9.500,736,16304,-2192
1,27190,0,7.200,9.500,804,16352,-2188
1,29190,0,7.200,9.500,700,16236,-2100
1,32190,0,7.200,9.500,684,16348,-2292
1,34190,0,7.200,9.500,688,16288,-2100
1,37190,0,7.200,9.500,856,16300,-1928
1,39190,0,7.200,9.500,804,16192,-2020
1,42190,0,7.200,9.500,560,16268,-2244
1,44190,0,7.200,9.500,832,16208,-2156
1,47190,0,7.200,9.500,760,16196,-2124
1,49190,0,7.200,9.500,744,16268,-2060
1,52190,0,7.200,9.500,652,16252,-2000
1,54190,0,7.200,9.500,752,16208,-2000
1,57190,0,7.200,9.500,628,16184,-2192
1,59190,0,7.200,9.500,612,16164,-2232
1,62190,0,7.200,9.500,580,16184,-2152
1,64190,0,7.200,9.500,596,16264,-2256
1,67190,0,7.200,9.500,624,16300,-2188
1,69190,0,7.200,9.500,680,16184,-2144
1,72190,0,7.200,9.500,832,16252,-2124
1,74190,0,7.200,9.500,656,16252,-2224
1,77190,0,7.200,9.500,640,16296,-2140
1,79190,0,7.200,9.500,712,16288,-2076
1,82190,0,7.200,9.500,760,16268,-2076
1,84190,0,7.200,9.500,692,16348,-2160
1,87190,0,7.200,9.500,712,16272,-2200
1,89190,0,7.200,9.500,768,16240,-2264
1,92190,0,7.200,9.500,736,16304,-2148
1,94190,0,7.200,9.500,744,16224,-2188
1,97190,0,7.200,9.500,700,16288,-2000
1,99190,0,7.200,9.500,648,16256,-2176
1,102190,0,7.200,9.500,616,16240,-2196
1,104190,0,7.200,9.500,740,16284,-2132
1,107190,0,7.200,9.500,772,16260,-2320
1,109190,0,7.200,9.500,764,16340,-2024
1,112190,0,7.200,9.500,680,16172,-2200
1,114190,0,7.200,9.500,756,16148,-2160
1,117190,0,7.200,9.500,676,16248,-2044
1,119190,0,7.200,9.500,716,16296,-2172
