trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2346,0,7.200,9.500,1652,16136,-1944
1,4190,0,7.200,9.500,1628,16164,-2004
1,7190,0,7.200,9.500,1624,16156,-1980
1,9190,0,7.200,9.500,1612,16216,-2076
1,12190,0,7.200,9.500,1600,16148,-2120
1,14190,0,7.200,9.500,1696,16252,-1956
1,17190,0,7.200,9.500,1680,16184,-2020
1,19190,0,7.200,9.500,1560,16288,-2172
1,22190,0,7.200,9.500,1672,16284,-1992
1,24190,0,7.200,9.500,1652,16224,-2160
1,27190,0,7.200,9.500,1612,16224,-2036
1,29190,0,7.200,9.500,1568,16228,-2020
1,32190,0,7.200,9.500,1596,16160,-2120
1,34190,0,7.200,9.500,1600,16168,-1920
1,37190,0,7.200,9.500,1564,16112,-2024
1,39190,0,7.200,9.500,1700,16220,-1888
1,42190,0,7.200,9.500,1720,16172,-1812
1,44190,0,7.200,9.500,1720,16192,-2116
1,47190,0,7.200,9.500,1672,16188,-2040
1,49189,0,7.200,9.500,1776,16220,-2076
1,52190,0,7.200,9.500,1700,16240,-1996
1,54190,0,7.200,9.500,1752,16308,-2144
1,57190,0,7.200,9.500,1620,16292,-1940
1,59190,0,7.200,9.500,1772,16260,-1996
1,62190,0,7.200,9.500,1788,16328,-2012
1,64190,0,7.200,9.500,1768,16148,-2072
1,67190,0,7.200,9.500,1700,16172,-2032
1,69190,0,7.200,9.500,1756,16172,-1892
1,72190,0,7.200,9.500,1736,16136,-2108
1,74190,0,7.200,9.500,1620,16164,-1960
1,77190,0,7.200,9.500,1724,16160,-2012
1,79190,0,7.200,9.500,1728,16200,-1984
1,82190,0,7.200,9.500,1724,16092,-2096
1,84190,0,7.200,9.500,1708,16232,-2180
1,87190,0,7.200,9.500,1688,16216,-1896
1,89190,0,7.200,9.500,1712,16152,-2132
1,92190,0,7.200,9.500,1688,16224,-2020
1,94190,0,7.200,9.500,1672,16380,-2168
1,97190,0,7.200,9.500,1548,16252,-1872
1,99190,0,7.200,9.500,1604,16220,-2160
1,102190,0,7.200,9.500,1740,16160,-2068
1,104190,0,7.200,9.500,1584,16184,-2128
1,107190,0,7.200,9.500,1616,16104,-1928
1,109190,0,7.200,9.500,1712,16216,-1972
1,112190,0,7.200,9.500,1640,16172,-1888
1,114190,0,7.200,9.500,1676,16080,-1980
1,117190,0,7.200,9.500,1832,16164,-1888
1,119190,0,7.200,9.500,1760,16252,-1916
1,122190,0,7.200,9.500,1728,16172,-2032
1,124190,0,7.200,9.500,1704,16268,-1876
1,127190,0,7.200,9.500,1640,16144,-1932
1,129190,0,7.200,9.500,1688,16296,-2000
1,132190,0,7.200,9.500,1748,16264,-2048
1,134190,0,7.200,9.500,1580,16212,-2000
1,137190,0,7.200,9.500,1716,16104,-1988
1,139190,0,7.200,9.500,1504,16108,-2176
1,142190,0,7.200,9.500,1688,16128,-2128
1,144190,0,7.200,9.500,1536,16164,-1988
1,147190,0,7.200,9.500,1632,16152,-1948
1,149190,0,7.200,9.500,1748,16220,-1964
1,152190,0,7.200,9.500,1684,16276,-2168
1,154190,0,7.200,9.500,1540,16156,-2008
1,157190,0,7.200,9.500,1576,16116,-1836
1,159190,0,7.200,9.500,1504,16140,-1932
1,162190,0,7.200,9.500,1568,16180,-1992
1,164190,0,7.200,9.500,1636,16228,-1964
1,167190,0,7.200,9.500,1664,16104,-1964
1,169190,0,7.200,9.500,1580,16120,-2076
1,172190,0,7.200,9.500,1736,16200,-1912
1,174190,0,7.200,9.500,1672,16132,-2100
1,177190,0,7.200,9.500,1624,16268,-2124
1,179190,0,7.200,9.500,1784,16196,-2188
1,182190,0,7.200,9.500,1604,16212,-2280
1,184190,0,7.200,9.500,1632,16336,-2100
1,187190,0,7.200,9.500,1780,16332,-2032
1,189190,0,7.200,9.500,1688,16328,-1892
1,192190,0,7.200,9.500,1608,16280,-2080
1,194190,0,7.200,9.500,1744,16240,-1880
1,197190,0,7.200,9.500,1640,16276,-1976
1,199190,0,7.200,9.500,1684,16184,-2136
1,202190,0,7.200,9.500,1796,16060,-1948
1,204190,0,7.200,9.500,1688,16096,-2032
1,207190,0,7.200,9.500,1556,16228,-2088
1,209190,0,7.200,9.500,1636,16100,-2040
1,212190,0,7.200,9.500,1812,16276,-1924
1,214190,0,7.200,9.500,1588,16356,-2048
1,217190,0,7.200,9.500,1612,16380,-1848
1,219190,0,7.200,9.500,1580,16176,-1912
1,222190,0,7.200,9.500,1604,16268,-2012
1,224190,0,7.200,9.500,1552,16308,-1932
1,227190,0,7.200,9.500,1652,16144,-2076
1,229190,0,7.200,9.500,1632,16168,-1924
1,232190,0,7.200,9.500,1652,16076,-2044
1,234190,0,7.200,9.500,1680,16092,-2140
1,237190,0,7.200,9.500,1652,16100,-1996
1,239190,0,7.200,9.500,1612,16208,-1988
1,242190,0,7.200,9.500,1676,16200,-2044
1,244190,0,7.200,9.500,1724,16128,-1928
1,247190,0,7.200,9.500,1564,16260,-2264
1,249190,0,7.200,9.500,1624,16232,-2096
1,252190,0,7.200,9.500,1764,16400,-2112
1,254190,0,7.200,9.500,1528,16304,-2064
1,257190,0,7.200,9.500,1752,16332,-2008
1,259190,0,7.200,9.500,1668,16164,-2012
1,262190,0,7.200,9.500,1660,16300,-1996
1,264190,0,7.200,9.500,1776,16084,-2044
1,267190,0,7.200,9.500,1740,16068,-2060
1,269190,0,7.200,9.500,1668,16108,-2044
1,272190,0,7.200,9.500,1760,16292,-1812
1,274190,0,7.200,9.500,1772,16164,-1856
1,277190,0,7.200,9.500,1588,16292,-1964
1,279190,0,7.200,9.500,1764,16240,-1980
1,282190,0,7.200,9.500,1732,16100,-2068
1,284190,0,7.200,9.500,1740,16184,-2004
1,287190,0,7.200,9.500,1604,16192,-2084
1,289190,0,7.200,9.500,1648,16208,-2052
1,292190,0,7.200,9.500,1704,16056,-2192
1,294190,0,7.200,9.500,1500,16240,-2064
1,297190,0,7.200,9.500,1776,16144,-2020
1,299190,0,7.200,9.500,1680,16168,-2076
1,302190,0,7.200,9.500,1496,16192,-1940
1,304190,0,7.200,9.500,1672,16192,-1904
1,307190,0,7.200,9.500,1744,16236,-2192
1,309190,0,7.200,9.500,1692,16144,-1912
