t_us,phase,ax,ay,az
962,0,2068,16116,-1296
3456,0,1968,16232,-1228
5955,0,2036,16128,-1260
8456,0,1976,16228,-1260
10956,0,1860,16224,-1200
13456,0,2128,16212,-1280
15955,0,2008,16172,-1300
18456,0,2024,16204,-1352
20956,0,2052,16252,-1504
23456,0,2044,16136,-1424
25956,0,2092,16136,-1336
28456,0,2020,16192,-1272
30955,0,2132,16164,-1344
33456,0,1980,16168,-1180
35956,0,2016,16148,-1232
38456,0,1956,16184,-1292
40956,0,1980,16096,-1208
43456,0,1984,16220,-1144
45956,0,1952,16236,-1300
48456,0,1916,16156,-1308
50955,0,2080,16232,-1452
53455,0,2048,16176,-1416
55955,0,1984,16244,-1388
58456,0,2032,16116,-1424
60956,0,1940,16224,-1428
63456,0,1944,16156,-1392
65955,0,1944,16124,-1424
68456,0,1996,16104,-1384
70956,0,2084,16152,-1272
73456,0,1980,16176,-1388
75956,0,2116,16168,-1264
78456,0,2168,16200,-1360
80955,0,2164,16160,-1296
83456,0,1992,16296,-1296
85956,0,1976,16200,-1304
88456,0,2108,16276,-1200
90956,0,2032,16232,-1336
93456,0,2008,16260,-1368
95956,0,2032,16128,-1272
98456,0,2012,16128,-1120
100955,0,2040,16148,-1284
103455,0,2052,16160,-1388
105955,0,2036,16192,-1388
108456,0,2008,16168,-1344
110956,0,1960,16072,-1156
113456,0,2076,16100,-1212
115955,0,2096,16120,-1368
118456,0,1984,16180,-1392
120956,0,1904,16144,-1352
123456,0,2056,16168,-1132
125956,0,2060,16136,-1356
128456,0,2052,16196,-1312
130955,0,2148,16180,-1404
133456,0,2176,16176,-1396
135956,0,2064,16152,-1408
138456,0,1956,16212,-1416
140956,0,2056,16208,-1280
143456,0,1992,16216,-1220
145956,0,2084,16088,-1408
148456,0,1908,16224,-1324
150955,0,1876,16064,-1296
153455,0,2100,16128,-1448
155955,0,2036,16120,-1348
158456,0,1992,16220,-1424
160956,0,2068,16224,-1320
163456,0,2048,16204,-1304
165955,0,2044,16204,-1388
168456,0,1952,16240,-1344
170956,0,2076,16180,-1184
173456,0,2004,16240,-1404
175956,0,2064,16184,-1208
178456,0,1968,16216,-1240
180955,0,1976,16196,-1400
183456,0,1944,16216,-1228
185956,0,2000,16136,-1432
188456,0,2096,16184,-1236
190956,0,2044,16164,-1388
193456,0,2116,16220,-1280
195956,0,2000,16196,-1380
198456,0,1980,16164,-1324
200955,0,1972,16196,-1340
203455,0,2036,16172,-1336
205955,0,2016,16180,-1436
208456,0,1916,16148,-1444
210956,0,2076,16068,-1396
213456,0,2028,16076,-1308
215955,0,1996,16192,-1304
218456,0,1936,16120,-1368
220956,0,2032,16148,-1284
223456,0,2044,16140,-1256
225956,0,2048,16128,-1308
228456,0,2060,16092,-1336
230955,0,1960,16148,-1344
233456,0,1968,16116,-1348
235956,0,1960,16152,-1372
238456,0,2104,16312,-1296
240956,0,2020,16196,-1332
243456,0,2004,16164,-1320
245956,0,2024,16224,-1316
248456,0,2124,16140,-1408
250955,0,1984,16184,-1252
253456,0,1944,16224,-1492
255956,0,1852,16220,-1244
258456,0,1944,16120,-1308
260956,0,2000,16100,-1160
263456,0,1948,16152,-1364
265955,0,1960,16164,-1216
268456,0,2032,16168,-1180
270956,0,2076,16204,-1340
273456,0,2164,16220,-1372
275956,0,2148,16148,-1292
278456,0,1916,16276,-1316
280955,0,1948,16180,-1168
283456,0,1960,16288,-1220
285956,0,1928,16228,-1352
288456,0,2040,16120,-1300
290956,0,2072,16088,-1264
293456,0,1984,16232,-1236
295956,0,2080,16144,-1296
298456,0,2080,16172,-1300
300955,0,2116,16184,-1348
303455,0,2012,16196,-1228
305955,0,2132,16200,-1144
308456,0,2064,16208,-1376
310956,0,2104,16200,-1292
313456,0,1960,16120,-1400
315955,0,2060,16192,-1228
318456,0,2020,16188,-1308
320956,0,1992,16144,-1236
323456,0,1984,16264,-1356
325956,0,1964,16240,-1236
328456,0,2128,16176,-1164
330955,0,2092,16132,-1256
333456,0,1896,16148,-1372
335956,0,1920,16172,-1208
338456,0,2080,16224,-1176
340956,0,2060,16124,-1340
343456,0,1924,16200,-1320
345956,0,2032,16172,-1240
348456,0,2004,16068,-1320
350955,0,2068,16156,-1312
353455,0,2140,16208,-1340
355955,0,2132,16124,-1352
358456,0,1976,16132,-1376
360956,0,2080,16152,-1392
363456,0,1972,16180,-1296
365955,0,1972,16148,-1336
368456,0,2028,16096,-1256
370956,0,2120,16188,-1340
373456,0,2072,16108,-1336
375956,0,1988,16120,-1464
378456,0,1904,16088,-1456
380956,0,2124,16172,-1484
383456,0,2040,16116,-1216
385956,0,2120,16192,-1228
388456,0,1908,16192,-1308
390956,0,2092,16192,-1404
393456,0,1980,16140,-1384
395956,0,1968,16232,-1212
398456,0,1992,16204,-1288
400955,0,1940,16216,-1476
403456,0,2068,16192,-1364
405956,0,1976,16136,-1456
408456,0,2152,16232,-1180
410956,0,2056,16128,-1336
413456,0,2072,16140,-1248
415955,0,2164,16116,-1284
418456,0,2104,16168,-1304
420956,0,2116,16200,-1452
423456,0,1988,16124,-1404
425956,0,2072,16116,-1204
428456,0,1964,16260,-1404
430956,0,1980,16132,-1376
433456,0,2020,16120,-1460
435956,0,2032,16148,-1336
438456,0,2088,16176,-1388
440956,0,2092,16192,-1328
443456,0,2072,16196,-1444
445956,0,2028,16132,-1340
448456,0,2036,16068,-1316
450955,0,1944,16216,-1252
453455,0,2032,16144,-1360
455955,0,2072,16180,-1356
458456,0,2072,16136,-1304
460956,0,1972,16180,-1172
463456,0,2044,16176,-1352
465955,0,2088,16160,-1340
468456,0,2060,16168,-1276
470956,0,1980,16120,-1180
473456,0,1996,16208,-1296
475956,0,2040,16144,-1408
478456,0,1920,16136,-1280
480956,0,1900,16144,-1304
483456,0,2044,16112,-1332
485956,0,1868,16132,-1404
488456,0,2072,16096,-1340
490956,0,2020,16240,-1384
493456,0,2072,16180,-1400
495956,0,2072,16172,-1428
498456,0,2024,16224,-1332
500955,0,2076,16124,-1372
503455,0,2060,16204,-1296
505955,0,2016,16236,-1352
508456,0,1848,16196,-1276
510956,0,1888,16088,-1324
513456,0,1972,16156,-1172
515955,0,1972,16160,-1240
518456,0,2024,16128,-1264
520956,0,2068,16128,-1304
523456,0,2072,16196,-1264
525956,0,2060,16088,-1292
528456,0,1940,16156,-1368
530956,0,2080,16228,-1248
533456,0,2040,16092,-1232
535956,0,2052,16156,-1316
538456,0,2036,16172,-1336
540956,0,1944,16176,-1256
543456,0,2008,16156,-1336
545956,0,2120,16124,-1240
548456,0,1956,16192,-1400
550955,0,2012,16136,-1316
553455,0,2028,16160,-1444
555955,0,2076,16132,-1280
558456,0,2044,16160,-1272
560956,0,2048,16148,-1360
563456,0,2004,16148,-1332
565955,0,1964,16096,-1260
568456,0,1992,16204,-1412
570956,0,1980,16168,-1300
573456,0,2048,16184,-1332
575956,0,2056,16224,-1432
578456,0,1984,16228,-1404
580956,0,1960,16236,-1292
583456,0,2080,16176,-1372
585956,0,1956,16180,-1260
588456,0,2060,16144,-1392
590956,0,2004,16208,-1348
593456,0,1964,16092,-1376
