trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2349,0,22.200,14.500,1424,16228,-2024
1,4186,0,22.200,14.500,1428,16204,-1968
1,7186,0,22.200,14.500,1404,16256,-2024
1,9186,0,22.200,14.500,1452,16256,-1988
1,12186,0,22.200,14.500,1344,16264,-1836
1,14186,0,22.200,14.500,1476,16252,-2032
1,17186,0,22.200,14.500,1424,16336,-2008
1,19186,0,22.200,14.500,1392,16304,-1896
1,22186,0,22.200,14.500,1276,16272,-1976
1,24186,0,22.200,14.500,1308,16252,-2052
1,27186,0,22.200,14.500,1456,16248,-2108
1,29186,0,22.200,14.500,1240,16232,-2032
1,32186,0,22.200,14.500,1392,16264,-1916
1,34186,0,22.200,14.500,1424,16216,-1980
1,37186,0,22.200,14.500,1464,16304,-1992
1,39186,0,22.200,14.500,1420,16248,-2040
1,42186,0,22.200,14.500,1264,16280,-1984
1,44186,0,22.200,14.500,1340,16328,-1956
1,47186,0,22.200,14.500,1316,16284,-2012
1,49186,0,22.200,14.500,1312,16284,-1920
1,52186,0,22.200,14.500,1268,16308,-2040
1,54186,0,22.200,14.500,1392,16212,-1972
1,57186,0,22.200,14.500,1320,16248,-1932
1,59186,0,22.200,14.500,1488,16172,-1900
1,62186,0,22.200,14.500,1380,16220,-1980
1,64186,0,22.200,14.500,1228,16216,-2032
1,67186,0,22.200,14.500,1340,16272,-2036
1,69186,0,22.200,14.500,1300,16268,-1912
1,72186,0,22.200,14.500,1348,16248,-2084
1,74186,0,22.200,14.500,1432,16288,-1956
1,77186,0,22.200,14.500,1364,16292,-1924
1,79186,0,22.200,14.500,1404,16220,-2080
1,82186,0,22.200,14.500,1404,16188,-1976
1,84186,0,22.200,14.500,1412,16188,-2048
1,87186,0,22.200,14.500,1332,16252,-2040
1,89186,0,22.200,14.500,1288,16248,-1924
1,92186,0,22.200,14.500,1364,16256,-1980
1,94186,0,22.200,14.500,1420,16252,-1992
1,97186,0,22.200,14.500,1252,16212,-2068
1,99186,0,22.200,14.500,1400,16224,-1980
1,102186,0,22.200,14.500,1364,16288,-1936
1,104186,0,22.200,14.500,1324,16264,-1976
1,107186,0,22.200,14.500,1424,16212,-2036
1,109186,0,22.200,14.500,1404,16200,-2060
1,112186,0,22.200,14.500,1316,16260,-2044
1,114186,0,22.200,14.500,1312,16252,-2076
1,117186,0,22.200,14.500,1384,16244,-2084
1,119186,0,22.200,14.500,1368,16352,-2136
1,122186,0,22.200,14.500,1428,16204,-2044
1,124186,0,22.200,14.500,1356,16304,-1964
1,127186,0,22.200,14.500,1428,16268,-1956
1,129186,0,22.200,14.500,1376,16296,-2108
1,132186,0,22.200,14.500,1360,16208,-2012
1,134186,0,22.200,14.500,1396,16252,-2036
1,137186,0,22.200,14.500,1392,16108,-2196
1,139186,0,22.200,14.500,1404,16228,-1920
1,142186,0,22.200,14.500,1412,16276,-2084
1,144186,0,22.200,14.500,1436,16276,-2020
1,147186,0,22.200,14.500,1444,16232,-1904
1,149186,0,22.200,14.500,1320,16240,-2036
1,152186,0,22.200,14.500,1320,16244,-2068
1,154186,0,22.200,14.500,1340,16312,-2044
1,157186,0,22.200,14.500,1420,16200,-2044
1,159186,0,22.200,14.500,1412,16220,-2028
1,162186,0,22.200,14.500,1360,16200,-1944
1,164186,0,22.200,14.500,1388,16248,-2000
1,167186,0,22.200,14.500,1364,16372,-2000
1,169186,0,22.200,14.500,1360,16352,-1932
1,172186,0,22.200,14.500,1392,16220,-2000
1,174186,0,22.200,14.500,1300,16196,-1832
1,177186,0,22.200,14.500,1312,16172,-2028
1,179186,0,22.200,14.500,1356,16220,-1928
1,182186,0,22.200,14.500,1416,16276,-1952
1,184186,0,22.200,14.500,1368,16184,-1928
1,187186,0,22.200,14.500,1332,16204,-1972
1,189186,0,22.200,14.500,1360,16192,-2084
1,192186,0,22.200,14.500,1372,16256,-1856
1,194186,0,22.200,14.500,1344,16248,-1996
1,197186,0,22.200,14.500,1364,16228,-1964
1,199186,0,22.200,14.500,1452,16284,-2308
1,202186,0,22.200,14.500,1364,16276,-2012
1,204186,0,22.200,14.500,1388,16280,-1960
1,207186,0,22.200,14.500,1380,16280,-2008
1,209186,0,22.200,14.500,1276,16380,-2028
1,212186,0,22.200,14.500,1348,16296,-2068
1,214186,0,22.200,14.500,1412,16188,-2028
1,217186,0,22.200,14.500,1392,16212,-1996
1,219186,0,22.200,14.500,1400,16348,-1876
1,222186,0,22.200,14.500,1416,16248,-2076
1,224186,0,22.200,14.500,1384,16240,-1944
1,227186,0,22.200,14.500,1448,16184,-2000
1,229186,0,22.200,14.500,1496,16228,-2036
1,232186,0,22.200,14.500,1364,16272,-1972
1,234186,0,22.200,14.500,1440,16268,-2016
1,237186,0,22.200,14.500,1328,16296,-2000
1,239186,0,22.200,14.500,1360,16240,-2024
1,242186,0,22.200,14.500,1428,16264,-2272
1,244186,0,22.200,14.500,1332,16288,-2096
1,247186,0,22.200,14.500,1440,16284,-1952
1,249186,0,22.200,14.500,1280,16172,-2004
1,252186,0,22.200,14.500,1392,16180,-1928
1,254186,0,22.200,14.500,1380,16224,-2072
1,257186,0,22.200,14.500,1404,16248,-1900
1,259186,0,22.200,14.500,1360,16240,-2024
1,262186,0,22.200,14.500,1348,16252,-1836
1,264186,0,22.200,14.500,1320,16272,-2052
1,267186,0,22.200,14.500,1368,16352,-2036
1,269186,0,22.200,14.500,1316,16248,-2012
1,272186,0,22.200,14.500,1316,16232,-2008
1,274186,0,22.200,14.500,1332,16284,-1844
1,277186,0,22.200,14.500,1328,16296,-1928
1,279186,0,22.200,14.500,1328,16292,-1912
1,282186,0,22.200,14.500,1444,16244,-2056
1,284186,0,22.200,14.500,1396,16292,-1996
1,287186,0,22.200,14.500,1328,16272,-2044
1,289186,0,22.200,14.500,1272,16272,-2060
1,292186,0,22.200,14.500,1372,16200,-2132
1,294186,0,22.200,14.500,1360,16264,-2188
1,297186,0,22.200,14.500,1376,16280,-2108
1,299186,0,22.200,14.500,1260,16248,-2148
1,302186,0,22.200,14.500,1380,16256,-1860
1,304186,0,22.200,14.500,1420,16172,-1972
1,307186,0,22.200,14.500,1396,16192,-1924
1,309186,0,22.200,14.500,1440,16248,-2048
1,312186,0,22.200,14.500,1400,16192,-1932
1,314186,0,22.200,14.500,1500,16288,-1988
1,317186,0,22.200,14.500,1276,16288,-1956
