trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,10186,0,22.200,4.500,1752,16296,-1636,,,,,,,
1,13186,0,22.200,4.500,1720,16316,-1524,,,,,,,
1,15186,0,22.200,4.500,1704,16344,-1492,,,,,,,
1,18186,0,22.200,4.500,1516,16296,-1484,,,,,,,
1,20186,0,22.200,4.500,1392,16344,-1576,,,,,,,
1,23186,0,22.200,4.500,1360,16204,-1708,,,,,,,
1,25186,0,22.200,4.500,1336,16292,-1580,,,,,,,
1,28186,0,22.200,4.500,1592,16300,-1672,,,,,,,
1,30186,0,22.200,4.500,1584,16164,-1676,,,,,,,
1,33186,0,22.200,4.500,1532,16180,-1648,,,,,,,
1,35186,0,22.200,4.500,1736,16276,-1808,,,,,,,
1,38186,0,22.200,4.500,1772,16196,-1760,,,,,,,
1,40186,0,22.200,4.500,1836,16248,-1808,,,,,,,
1,43186,0,22.200,4.500,1700,16224,-1636,,,,,,,
1,45186,0,22.200,4.500,1672,16200,-1824,,,,,,,
1,48186,0,22.200,4.500,1540,16216,-1740,,,,,,,
1,50186,0,22.200,4.500,1428,16248,-1548,,,,,,,
1,53186,0,22.200,4.500,1508,16336,-1572,,,,,,,
1,55186,0,22.200,4.500,1432,16336,-1576,,,,,,,
1,58186,0,22.200,4.500,1452,16248,-1528,,,,,,,
1,60186,0,22.200,4.500,1448,16336,-1564,,,,,,,
1,63186,0,22.200,4.500,1576,16232,-1480,,,,,,,
1,65186,0,22.200,4.500,1452,16168,-1592,,,,,,,
1,68186,0,22.200,4.500,1608,16296,-1548,,,,,,,
1,70186,0,22.200,4.500,1636,16220,-1724,,,,,,,
1,73186,0,22.200,4.500,1740,16188,-1604,,,,,,,
1,75186,0,22.200,4.500,1640,16200,-1660,,,,,,,
1,78186,0,22.200,4.500,1616,16116,-1624,,,,,,,
1,80186,0,22.200,4.500,1572,16264,-1524,,,,,,,
1,83186,0,22.200,4.500,1472,16224,-1672,,,,,,,
1,85186,0,22.200,4.500,1408,16224,-1680,,,,,,,
1,88186,0,22.200,4.500,1416,16304,-1816,,,,,,,
1,90186,0,22.200,4.500,1424,16196,-1604,,,,,,,
1,93186,0,22.200,4.500,1488,16276,-1728,,,,,,,
1,95186,0,22.200,4.500,1464,16248,-1664,,,,,,,
1,98186,0,22.200,4.500,1616,16264,-1620,,,,,,,
1,100186,0,22.200,4.500,1628,16192,-1644,,,,,,,
1,103186,0,22.200,4.500,1712,16184,-1704,,,,,,,
1,105186,0,22.200,4.500,1756,16296,-1680,,,,,,,
1,108186,0,22.200,4.500,1684,16264,-1596,,,,,,,
1,110186,0,22.200,4.500,1752,16152,-1636,,,,,,,
1,113186,0,22.200,4.500,1524,16268,-1536,,,,,,,
1,115186,0,22.200,4.500,1540,16204,-1604,,,,,,,
1,118186,0,22.200,4.500,1464,16232,-1596,,,,,,,
1,120186,0,22.200,4.500,1432,16324,-1576,,,,,,,
1,123186,0,22.200,4.500,1548,16340,-1652,,,,,,,
1,125186,0,22.200,4.500,1356,16196,-1528,,,,,,,
1,128186,0,22.200,4.500,1404,16284,-1472,,,,,,,
1,130186,0,22.200,4.500,1556,16280,-1660,,,,,,,
1,133186,0,22.200,4.500,1548,16148,-1676,,,,,,,
1,135186,0,22.200,4.500,1752,16200,-1616,,,,,,,
1,138186,0,22.200,4.500,1736,16176,-1808,,,,,,,
1,140186,0,22.200,4.500,1648,16088,-1784,,,,,,,
1,143186,0,22.200,4.500,1576,16272,-1604,,,,,,,
1,145186,0,22.200,4.500,1620,16140,-1736,,,,,,,
1,148186,0,22.200,4.500,1476,16208,-1796,,,,,,,
1,150186,0,22.200,4.500,1376,16252,-1764,,,,,,,
1,153186,0,22.200,4.500,1336,16376,-1652,,,,,,,
1,155186,0,22.200,4.500,1536,16340,-1528,,,,,,,
1,158186,0,22.200,4.500,1480,16304,-1564,,,,,,,
1,160186,0,22.200,4.500,1524,16396,-1572,,,,,,,
1,163186,0,22.200,4.500,1672,16288,-1408,,,,,,,
1,165186,0,22.200,4.500,1564,16296,-1544,,,,,,,
1,168186,0,22.200,4.500,1696,16192,-1640,,,,,,,
1,170186,0,22.200,4.500,1760,16240,-1692,,,,,,,
1,173186,0,22.200,4.500,1748,16164,-1568,,,,,,,
1,175186,0,22.200,4.500,1736,16164,-1492,,,,,,,
1,178186,0,22.200,4.500,1640,16260,-1740,,,,,,,
1,180186,0,22.200,4.500,1640,16224,-1760,,,,,,,
1,183186,0,22.200,4.500,1512,16244,-1796,,,,,,,
1,185186,0,22.200,4.500,1412,16252,-1804,,,,,,,
1,188186,0,22.200,4.500,1380,16264,-1816,,,,,,,
1,190186,0,22.200,4.500,1200,16188,-1716,,,,,,,
1,193186,0,22.200,4.500,1272,16228,-1672,,,,,,,
1,195186,0,22.200,4.500,1468,16256,-1684,,,,,,,
1,198186,0,22.200,4.500,1652,16236,-1528,,,,,,,
1,200186,0,22.200,4.500,1656,16180,-1528,,,,,,,
1,203186,0,22.200,4.500,1648,16192,-1612,,,,,,,
1,205186,0,22.200,4.500,1696,16156,-1600,,,,,,,
1,208186,0,22.200,4.500,1816,16264,-1432,,,,,,,
1,210186,0,22.200,4.500,1852,16228,-1600,,,,,,,
1,213186,0,22.200,4.500,1628,16260,-1632,,,,,,,
1,215186,0,22.200,4.500,1540,16220,-1596,,,,,,,
1,218186,0,22.200,4.500,1500,16292,-1628,,,,,,,
1,220186,0,22.200,4.500,1488,16284,-1508,,,,,,,
1,223186,0,22.200,4.500,1424,16228,-1576,,,,,,,
1,225186,0,22.200,4.500,1452,16240,-1716,,,,,,,
1,228186,0,22.200,4.500,1352,16280,-1572,,,,,,,
1,230186,0,22.200,4.500,1396,16268,-1800,,,,,,,
1,233186,0,22.200,4.500,1576,16296,-1712,,,,,,,
1,235186,0,22.200,4.500,1560,16172,-1604,,,,,,,
1,238186,0,22.200,4.500,1672,16244,-1628,,,,,,,
1,240186,0,22.200,4.500,1736,16144,-1532,,,,,,,
1,243186,0,22.200,4.500,1816,16196,-1780,,,,,,,
1,245186,0,22.200,4.500,1712,16120,-1584,,,,,,,
1,248186,0,22.200,4.500,1584,16204,-1552,,,,,,,
1,250186,0,22.200,4.500,1424,16180,-1624,,,,,,,
1,253186,0,22.200,4.500,1376,16288,-1748,,,,,,,
1,255186,0,22.200,4.500,1288,16268,-1772,,,,,,,
1,258186,0,22.200,4.500,1420,16212,-1564,,,,,,,
1,260186,0,22.200,4.500,1292,16264,-1548,,,,,,,
1,263186,0,22.200,4.500,1572,16240,-1588,,,,,,,
1,265186,0,22.200,4.500,1572,16268,-1544,,,,,,,
1,268186,0,22.200,4.500,1708,16236,-1700,,,,,,,
1,270186,0,22.200,4.500,1616,16216,-1492,,,,,,,
1,273186,0,22.200,4.500,1736,16324,-1520,,,,,,,
1,275186,0,22.200,4.500,1696,16216,-1692,,,,,,,
1,278186,0,22.200,4.500,1732,16192,-1444,,,,,,,
1,280186,0,22.200,4.500,1660,16132,-1672,,,,,,,
1,283186,0,22.200,4.500,1636,16292,-1620,,,,,,,
1,285186,0,22.200,4.500,1640,16224,-1740,,,,,,,
1,288186,0,22.200,4.500,1460,16356,-1652,,,,,,,
1,290186,0,22.200,4.500,1456,16232,-1572,,,,,,,
1,293186,0,22.200,4.500,1420,16336,-1668,,,,,,,
1,295186,0,22.200,4.500,1476,16300,-1612,,,,,,,
1,298186,0,22.200,4.500,1512,16240,-1712,,,,,,,
1,300186,0,22.200,4.500,1484,16304,-1692,,,,,,,
1,303186,0,22.200,4.500,1644,16208,-1488,,,,,,,
1,305186,0,22.200,4.500,1620,16236,-1728,,,,,,,
1,308186,0,22.200,4.500,1636,16256,-1652,,,,,,,
1,310186,0,22.200,4.500,1720,16264,-1732,,,,,,,
1,313186,0,22.200,4.500,1640,16108,-1588,,,,,,,
1,315186,0,22.200,4.500,1568,16264,-1580,,,,,,,
1,318186,0,22.200,4.500,1564,16200,-1668,,,,,,,
1,320186,0,22.200,4.500,1424,16312,-1748,,,,,,,
