trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,1344,0,22.200,4.500,1668,16252,-2088
1,3189,0,22.200,4.500,1628,16340,-1920
1,6188,0,22.200,4.500,1628,16252,-2128
1,8189,0,22.200,4.500,1604,16348,-1952
1,11189,0,22.200,4.500,1656,16136,-2080
1,13188,0,22.200,4.500,1692,16344,-2156
1,16189,0,22.200,4.500,1536,16072,-2272
1,18189,0,22.200,4.500,1636,16176,-2056
1,21189,0,22.200,4.500,1596,16092,-2140
1,23188,0,22.200,4.500,1632,16152,-2052
1,26189,0,22.200,4.500,1536,16232,-2000
1,28189,0,22.200,4.500,1648,16240,-1988
1,31188,0,22.200,4.500,1556,16268,-2092
1,33189,0,22.200,4.500,1520,16220,-1968
1,36188,0,22.200,4.500,1456,16260,-1892
1,38189,0,22.200,4.500,1592,16224,-2056
1,41189,0,22.200,4.500,1468,16304,-2028
1,43189,0,22.200,4.500,1504,16004,-1980
1,46189,0,22.200,4.500,1396,16120,-2076
1,48189,0,22.200,4.500,1524,16020,-2052
1,51189,0,22.200,4.500,1420,16084,-1832
1,53189,0,22.200,4.500,1528,16220,-2148
1,56188,0,22.200,4.500,1664,16256,-1884
1,58188,0,22.200,4.500,1604,16256,-2084
1,61189,0,22.200,4.500,1692,16256,-1912
1,63189,0,22.200,4.500,1608,16384,-2220
1,66188,0,22.200,4.500,1696,16424,-2112
1,68189,0,22.200,4.500,1688,16184,-2088
1,71188,0,22.200,4.500,1560,16304,-2156
1,73189,0,22.200,4.500,1648,16084,-1972
1,76189,0,22.200,4.500,1608,16276,-2080
1,78189,0,22.200,4.500,1684,16192,-2020
1,81189,0,22.200,4.500,1612,16072,-2088
1,83189,0,22.200,4.500,1724,16304,-2024
1,86189,0,22.200,4.500,1584,16248,-2012
1,88189,0,22.200,4.500,1632,16228,-2184
1,91188,0,22.200,4.500,1704,16268,-2132
1,93188,0,22.200,4.500,1604,16136,-2032
1,96189,0,22.200,4.500,1608,16272,-2152
1,98188,0,22.200,4.500,1520,16084,-2020
1,101189,0,22.200,4.500,1500,16144,-2152
1,103189,0,22.200,4.500,1524,16232,-2012
1,106189,0,22.200,4.500,1492,16052,-2152
1,108188,0,22.200,4.500,1548,16208,-2076
1,111189,0,22.200,4.500,1588,16248,-2116
1,113188,0,22.200,4.500,1428,16032,-2044
1,116189,0,22.200,4.500,1548,16288,-2172
1,118189,0,22.200,4.500,1524,16096,-2064
1,121188,0,22.200,4.500,1512,16080,-2028
1,123189,0,22.200,4.500,1556,16292,-2128
1,126189,0,22.200,4.500,1656,16156,-2152
1,128189,0,22.200,4.500,1564,16300,-2036
1,131188,0,22.200,4.500,1688,16260,-2060
1,133189,0,22.200,4.500,1548,16192,-2008
1,136189,0,22.200,4.500,1620,16272,-2120
1,138188,0,22.200,4.500,1588,16372,-2012
1,141188,0,22.200,4.500,1572,16216,-1992
1,143189,0,22.200,4.500,1652,16560,-2192
1,146189,0,22.200,4.500,1716,16256,-2160
1,148189,0,22.200,4.500,1624,16284,-2116
1,151188,0,22.200,4.500,1692,16340,-2224
1,153189,0,22.200,4.500,1568,16084,-2096
1,156189,0,22.200,4.500,1620,16268,-2128
1,158189,0,22.200,4.500,1640,16144,-2104
1,161189,0,22.200,4.500,1560,16048,-2056
1,163188,0,22.200,4.500,1660,16264,-2116
1,166189,0,22.200,4.500,1548,16212,-2120
1,168189,0,22.200,4.500,1468,16180,-2092
1,171189,0,22.200,4.500,1556,16320,-2092
1,173188,0,22.200,4.500,1444,16252,-1968
1,176189,0,22.200,4.500,1592,16256,-1968
