trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,1346,0,7.5,9.5,1816,16284,-1628
1,3186,0,7.5,9.5,1740,16108,-1556
1,6186,0,7.5,9.5,1644,16160,-1572
1,8186,0,7.5,9.5,1848,16156,-1656
1,11186,0,7.5,9.5,1660,16224,-1704
1,13186,0,7.5,9.5,1760,16260,-1772
1,16186,0,7.5,9.5,1712,16196,-1708
1,18186,0,7.5,9.5,1672,16228,-1572
1,21186,0,7.5,9.5,1704,16244,-1576
1,23186,0,7.5,9.5,1616,16324,-1724
1,26186,0,7.5,9.5,1672,16348,-1708
1,28186,0,7.5,9.5,1576,16336,-1736
1,31186,0,7.5,9.5,1712,16204,-1724
1,33186,0,7.5,9.5,1700,16168,-1820
1,36186,0,7.5,9.5,1716,16292,-1724
1,38186,0,7.5,9.5,1748,16240,-1680
1,41186,0,7.5,9.5,1664,16176,-1624
1,43186,0,7.5,9.5,1644,16192,-1676
1,46186,0,7.5,9.5,1732,16240,-1788
1,48186,0,7.5,9.5,1676,16200,-1640
1,51186,0,7.5,9.5,1740,16216,-1612
1,53186,0,7.5,9.5,1564,16220,-1612
1,56186,0,7.5,9.5,1716,16236,-1632
1,58186,0,7.5,9.5,1608,16268,-1544
1,61186,0,7.5,9.5,1544,16212,-1612
1,63186,0,7.5,9.5,1680,16216,-1588
1,66186,0,7.5,9.5,1492,16328,-1744
1,68186,0,7.5,9.5,1608,16164,-1556
1,71186,0,7.5,9.5,1576,16284,-1564
1,73186,0,7.5,9.5,1732,16224,-1656
1,76186,0,7.5,9.5,1756,16248,-1744
1,78186,0,7.5,9.5,1724,16156,-1764
1,81186,0,7.5,9.5,1860,16212,-1796
1,83186,0,7.5,9.5,1576,16164,-1768
1,86186,0,7.5,9.5,1792,16216,-1744
1,88186,0,7.5,9.5,1672,16136,-1504
1,91186,0,7.5,9.5,1680,16256,-1704
1,93186,0,7.5,9.5,1784,16236,-1712
1,96186,0,7.5,9.5,1700,16304,-1648
1,98186,0,7.5,9.5,1564,16268,-1756
1,101186,0,7.5,9.5,1708,16200,-1544
1,103186,0,7.5,9.5,1664,16356,-1680
1,106186,0,7.5,9.5,1744,16284,-1408
1,108186,0,7.5,9.5,1676,16276,-1508
1,111186,0,7.5,9.5,1688,16152,-1576
1,113186,0,7.5,9.5,1664,16124,-1584
1,116186,0,7.5,9.5,1720,16092,-1520
1,118186,0,7.5,9.5,1700,16256,-1636
1,121186,0,7.5,9.5,1716,16148,-1628
1,123186,0,7.5,9.5,1788,16240,-1636
1,126186,0,7.5,9.5,1756,16144,-1680
1,128186,0,7.5,9.5,1600,16180,-1776
1,131186,0,7.5,9.5,1680,16276,-1760
1,133186,0,7.5,9.5,1656,16192,-1720
1,136186,0,7.5,9.5,1732,16224,-1680
1,138186,0,7.5,9.5,1544,16124,-1760
1,141186,0,7.5,9.5,1648,16292,-1716
1,143186,0,7.5,9.5,1620,16244,-1664
1,146186,0,7.5,9.5,1580,16296,-1648
1,148186,0,7.5,9.5,1744,16224,-1600
1,151186,0,7.5,9.5,1724,16296,-1640
1,153186,0,7.5,9.5,1756,16280,-1724
1,156186,0,7.5,9.5,1764,16152,-1664
1,158186,0,7.5,9.5,1796,16288,-1560
1,161186,0,7.5,9.5,1688,16184,-1716
1,163186,0,7.5,9.5,1832,16264,-1540
1,166186,0,7.5,9.5,1748,16248,-1516
1,168186,0,7.5,9.5,1724,16244,-1588
1,171186,0,7.5,9.5,1608,16216,-1696
1,173186,0,7.5,9.5,1816,16296,-1668
1,176186,0,7.5,9.5,1680,16292,-1848
1,178186,0,7.5,9.5,1620,16136,-1624
1,181186,0,7.5,9.5,1564,16260,-1700
1,183186,0,7.5,9.5,1576,16220,-1896
1,186186,0,7.5,9.5,1648,16144,-1716
1,188186,0,7.5,9.5,1616,16244,-1796
1,191186,0,7.5,9.5,1684,16184,-1748
1,193186,0,7.5,9.5,1676,16196,-1712
1,196186,0,7.5,9.5,1792,16180,-1652
1,198186,0,7.5,9.5,1880,16184,-1720
1,201186,0,7.5,9.5,1872,16168,-1676
1,203186,0,7.5,9.5,1608,16100,-1740
1,206186,0,7.5,9.5,1728,16160,-1688
1,208186,0,7.5,9.5,1620,16252,-1532
1,211186,0,7.5,9.5,1620,16232,-1624
1,213186,0,7.5,9.5,1808,16196,-1788
1,216186,0,7.5,9.5,1724,16348,-1708
1,218186,0,7.5,9.5,1704,16208,-1592
1,221186,0,7.5,9.5,1712,16248,-1548
1,223186,0,7.5,9.5,1632,16236,-1516
1,226186,0,7.5,9.5,1748,16288,-1724
1,228186,0,7.5,9.5,1748,16332,-1672
1,231186,0,7.5,9.5,1836,16204,-1552
1,233186,0,7.5,9.5,1744,16188,-1680
1,236186,0,7.5,9.5,1812,16200,-1664
1,238186,0,7.5,9.5,1776,16172,-1716
1,241186,0,7.5,9.5,1612,16188,-1672
1,243186,0,7.5,9.5,1556,16148,-1728
1,246186,0,7.5,9.5,1604,16240,-1656
1,248186,0,7.5,9.5,1524,16156,-1828
1,251186,0,7.5,9.5,1568,16316,-1708
1,253186,0,7.5,9.5,1536,16184,-1776
1,256186,0,7.5,9.5,1536,16224,-1732
1,258186,0,7.5,9.5,1668,16220,-1492
1,261186,0,7.5,9.5,1624,16212,-1704
1,263186,0,7.5,9.5,1792,16196,-1508
1,266186,0,7.5,9.5,1716,16200,-1660
1,268186,0,7.5,9.5,1692,16208,-1604
1,271186,0,7.5,9.5,1724,16180,-1700
1,273186,0,7.5,9.5,1756,16244,-1580
1,276186,0,7.5,9.5,1776,16228,-1592
1,278186,0,7.5,9.5,1744,16192,-1624
1,281186,0,7.5,9.5,1688,16152,-1664
1,283186,0,7.5,9.5,1700,16328,-1556
1,286186,0,7.5,9.5,1744,16200,-1492
1,288186,0,7.5,9.5,1620,16180,-1672
1,291186,0,7.5,9.5,1716,16232,-1728
1,293186,0,7.5,9.5,1684,16224,-1716
1,296186,0,7.5,9.5,1668,16220,-1692
1,298186,0,7.5,9.5,1644,16220,-1636
1,301186,0,7.5,9.5,1708,16164,-1544
1,303186,0,7.5,9.5,1684,16324,-1840
1,306186,0,7.5,9.5,1696,16160,-1788
1,308186,0,7.5,9.5,1644,16284,-1648
1,311186,0,7.5,9.5,1772,16172,-1736
1,313186,0,7.5,9.5,1712,16244,-1616
1,316186,0,7.5,9.5,1712,16236,-1724
1,318186,0,7.5,9.5,1808,16168,-1720
1,321186,0,7.5,9.5,1756,16176,-1596
1,323186,0,7.5,9.5,1708,16232,-1496
1,326186,0,7.5,9.5,1676,16220,-1368
1,328186,0,7.5,9.5,1796,16232,-1420
1,331186,0,7.5,9.5,1708,16380,-1544
1,333186,0,7.5,9.5,1628,16288,-1524
1,336186,0,7.5,9.5,1716,16216,-1504
1,338186,0,7.5,9.5,1672,16164,-1712
1,341186,0,7.5,9.5,1728,16164,-1788
1,343186,0,7.5,9.5,1760,16172,-1712
1,346186,0,7.5,9.5,1736,16148,-1732
1,348186,0,7.5,9.5,1728,16208,-1768
1,351186,0,7.5,9.5,1784,16164,-1740
1,353186,0,7.5,9.5,1744,16224,-1672
1,356186,0,7.5,9.5,1780,16224,-1660
1,358186,0,7.5,9.5,1660,16336,-1588
1,361186,0,7.5,9.5,1616,16224,-1716
1,363186,0,7.5,9.5,1736,16212,-1648
1,366186,0,7.5,9.5,1692,16324,-1568
1,368186,0,7.5,9.5,1636,16344,-1584
1,371186,0,7.5,9.5,1640,16296,-1656
1,373186,0,7.5,9.5,1648,16260,-1688
1,376186,0,7.5,9.5,1688,16204,-1688
1,378186,0,7.5,9.5,1644,16184,-1692
1,381186,0,7.5,9.5,1772,16292,-1584
1,383186,0,7.5,9.5,1764,16152,-1708
1,386186,0,7.5,9.5,1716,16196,-1672
1,388186,0,7.5,9.5,1672,16156,-1712
1,391186,0,7.5,9.5,1716,16064,-1636
1,393186,0,7.5,9.5,1616,16096,-1732
1,396186,0,7.5,9.5,1636,16236,-1848
1,398186,0,7.5,9.5,1612,16128,-1760
1,401186,0,7.5,9.5,1560,16140,-1844
1,403186,0,7.5,9.5,1596,16192,-1640
1,406186,0,7.5,9.5,1624,16220,-1628
1,408186,0,7.5,9.5,1672,16196,-1948
1,411186,0,7.5,9.5,1656,16288,-1740
