t_us,phase,ax,ay,az
1347,0,1848,16248,-1372
4188,0,1828,16196,-1140
6189,0,1776,16192,-1060
9189,0,1848,16072,-1092
11189,0,1912,16080,-1032
14189,0,1884,16160,-1216
16189,0,1864,16076,-1144
19189,0,1940,16020,-1204
21189,0,1936,16156,-1180
24189,0,1856,16152,-1344
26189,0,1848,16120,-1184
29189,0,1900,16104,-1280
31189,0,1892,16120,-1208
34189,0,1908,16108,-1184
36189,0,1808,16184,-1216
39189,0,1900,16100,-1160
41189,0,1836,16144,-1124
44189,0,1928,16108,-1124
46189,0,1912,16132,-1192
49189,0,1808,16268,-1212
51189,0,1884,16240,-1092
54189,0,1896,16152,-1280
56189,0,1900,16080,-1168
59189,0,1920,16108,-1160
61189,0,1808,16092,-1280
64189,0,1884,16092,-1064
66189,0,1876,16036,-1308
69189,0,1860,16120,-1060
71189,0,1916,16112,-1216
74189,0,2008,16064,-1164
76189,0,1928,16140,-1236
79189,0,1920,16152,-1348
81189,0,1860,16200,-1092
84189,0,1812,16168,-1224
86189,0,1844,16100,-1296
89189,0,1804,16228,-1152
91189,0,1904,16108,-1136
94189,0,1860,16144,-1324
96189,0,1844,16172,-1192
99189,0,1928,16056,-1212
101189,0,1908,16100,-1352
104189,0,1880,16184,-1248
106189,0,1868,16160,-1320
109189,0,1824,16136,-1308
111189,0,1912,16180,-1228
114189,0,1736,16000,-1276
116189,0,1940,16112,-1140
119189,0,1928,16128,-1332
121189,0,1932,16176,-1268
124189,0,1984,16164,-1240
126189,0,1876,16176,-1088
129189,0,1836,16204,-1112
131189,0,1920,16160,-1180
134189,0,1904,16080,-1068
136189,0,1884,16072,-1096
139189,0,1960,16080,-1160
141189,0,1892,16144,-1252
144189,0,1872,16068,-1200
146189,0,1984,16140,-1300
149189,0,1912,16040,-1152
151189,0,1904,16168,-1188
154189,0,1872,16044,-1132
156189,0,1796,16088,-1236
159189,0,1880,16108,-1348
161189,0,1892,16144,-1192
164189,0,1908,16164,-1260
166189,0,2012,16152,-1276
169189,0,1872,16160,-1232
171189,0,1896,16240,-1168
174189,0,1860,16208,-1360
176189,0,1840,16180,-1384
179189,0,1948,16148,-1312
181189,0,1860,16036,-1232
184189,0,1904,16060,-1308
186189,0,1984,16076,-1252
189189,0,1892,16148,-1176
191189,0,1892,16140,-1124
194189,0,1856,16152,-1196
196189,0,1944,16080,-1112
199189,0,1920,16064,-1068
201189,0,1892,16140,-1172
204189,0,1796,16168,-1228
206189,0,1856,16112,-1116
209189,0,1852,16140,-1144
211189,0,1880,16072,-1116
214189,0,1796,16136,-1276
216189,0,1768,16156,-1248
219189,0,1808,16164,-1208
221189,0,1816,16080,-1224
224189,0,1940,16116,-1416
226189,0,1944,16092,-1344
229189,0,2016,16040,-1176
231189,0,1872,16148,-1132
234189,0,1936,16044,-1264
236189,0,1960,16080,-1176
239189,0,1860,16156,-952
241189,0,1852,16104,-1188
244189,0,1812,16244,-1148
246189,0,1936,16180,-1108
249189,0,1900,16140,-1200
251189,0,1924,16132,-1308
254189,0,1828,16156,-1236
256189,0,1772,16200,-1336
259189,0,1792,16080,-1180
261189,0,1888,16156,-1056
264189,0,1788,16108,-1232
266189,0,1944,16068,-1308
269189,0,1956,16120,-1240
271189,0,1932,16108,-1280
274189,0,1952,16080,-1100
276189,0,1832,16092,-1160
279189,0,1800,16120,-1284
281189,0,1836,16124,-1344
284189,0,1888,16184,-1380
286189,0,1884,16196,-1328
289189,0,1780,16112,-1220
291189,0,1752,16224,-1244
294189,0,1876,16092,-1232
296189,0,1920,16196,-1304
299189,0,1896,16200,-1296
301189,0,1956,16180,-1212
304189,0,1904,16088,-1116
306189,0,1908,16152,-1056
309189,0,1896,16020,-1184
311189,0,1928,16048,-1264
314189,0,2008,16168,-1200
316189,0,1948,16096,-1140
319189,0,1948,16140,-1212
321189,0,1860,16088,-1120
324189,0,1900,16152,-1124
326189,0,1896,16028,-1056
329189,0,1884,16188,-1240
331189,0,1844,16140,-1160
