trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,3348,0,22.200,4.500,1620,16124,-1996
1,5189,0,22.200,4.500,1592,16156,-2088
1,8189,0,22.200,4.500,1672,16160,-2008
1,10189,0,22.200,4.500,1596,16248,-1932
1,13189,0,22.200,4.500,1636,16332,-2204
1,15189,0,22.200,4.500,1512,16136,-2044
1,18189,0,22.200,4.500,1596,16180,-2260
1,20189,0,22.200,4.500,1660,16164,-1796
1,23189,0,22.200,4.500,1568,16204,-2044
1,25189,0,22.200,4.500,1576,16212,-2036
1,28189,0,22.200,4.500,1576,16144,-2064
1,30189,0,22.200,4.500,1652,16196,-2156
1,33189,0,22.200,4.500,1496,16244,-2028
1,35189,0,22.200,4.500,1644,16240,-2024
1,38189,0,22.200,4.500,1800,16136,-1980
1,40189,0,22.200,4.500,1660,16068,-1996
1,43189,0,22.200,4.500,1628,16228,-1992
1,45189,0,22.200,4.500,1660,16168,-2120
1,48189,0,22.200,4.500,1724,16256,-1992
1,50189,0,22.200,4.500,1656,16248,-2204
1,53189,0,22.200,4.500,1684,16372,-1940
1,55189,0,22.200,4.500,1624,16236,-2008
1,58189,0,22.200,4.500,1672,16152,-2004
1,60189,0,22.200,4.500,1728,16248,-2100
1,63189,0,22.200,4.500,1652,16272,-1960
1,65189,0,22.200,4.500,1572,16116,-2160
1,68189,0,22.200,4.500,1580,16128,-2072
1,70189,0,22.200,4.500,1664,16196,-2224
1,73189,0,22.200,4.500,1652,16172,-2020
1,75189,0,22.200,4.500,1636,16144,-1996
1,78189,0,22.200,4.500,1600,16076,-2104
1,80189,0,22.200,4.500,1544,16132,-2120
1,83189,0,22.200,4.500,1512,16232,-2104
1,85189,0,22.200,4.500,1388,16220,-1944
1,88189,0,22.200,4.500,1484,16284,-2000
1,90189,0,22.200,4.500,1596,16416,-1920
1,93189,0,22.200,4.500,1556,16216,-2120
1,95189,0,22.200,4.500,1632,16308,-1864
1,98189,0,22.200,4.500,1532,16208,-1968
1,100189,0,22.200,4.500,1544,16136,-2032
1,103189,0,22.200,4.500,1700,16244,-2144
1,105189,0,22.200,4.500,1516,16048,-1944
1,108189,0,22.200,4.500,1680,16028,-2080
1,110189,0,22.200,4.500,1608,16172,-1868
1,113189,0,22.200,4.500,1672,16192,-2020
1,115189,0,22.200,4.500,1592,16216,-1804
1,118189,0,22.200,4.500,1660,16228,-2156
1,120189,0,22.200,4.500,1700,16412,-2008
1,123189,0,22.200,4.500,1756,16244,-2116
1,125189,0,22.200,4.500,1796,16220,-2164
1,128189,0,22.200,4.500,1648,16292,-2040
1,130189,0,22.200,4.500,1724,16220,-2088
1,133189,0,22.200,4.500,1556,16308,-1992
1,135189,0,22.200,4.500,1664,16028,-2072
1,138189,0,22.200,4.500,1572,16096,-2056
1,140189,0,22.200,4.500,1600,16164,-2184
1,143189,0,22.200,4.500,1544,16232,-2020
1,145189,0,22.200,4.500,1708,16168,-2056
1,148189,0,22.200,4.500,1636,16320,-2008
1,150189,0,22.200,4.500,1664,16308,-2044
1,153189,0,22.200,4.500,1680,16356,-1924
1,155189,0,22.200,4.500,1588,16192,-1972
1,158189,0,22.200,4.500,1636,16260,-2116
1,160189,0,22.200,4.500,1544,16252,-1936
1,163189,0,22.200,4.500,1564,16104,-2092
1,165189,0,22.200,4.500,1624,16112,-1940
1,168189,0,22.200,4.500,1548,16036,-2044
1,170189,0,22.200,4.500,1516,16116,-2036
1,173189,0,22.200,4.500,1556,16164,-2152
1,175189,0,22.200,4.500,1576,16156,-2132
1,178189,0,22.200,4.500,1612,16196,-2132
1,180189,0,22.200,4.500,1560,16160,-2160
1,183189,0,22.200,4.500,1700,16296,-2040
1,185189,0,22.200,4.500,1608,16180,-2088
1,188189,0,22.200,4.500,1576,16224,-2068
1,190189,0,22.200,4.500,1628,16196,-2144
1,193189,0,22.200,4.500,1708,16300,-2088
1,195189,0,22.200,4.500,1772,16228,-2080
1,198189,0,22.200,4.500,1620,16164,-2052
1,200189,0,22.200,4.500,1676,16184,-2104
1,203189,0,22.200,4.500,1700,16168,-2112
1,205189,0,22.200,4.500,1672,16208,-2036
1,208189,0,22.200,4.500,1716,16120,-2012
1,210189,0,22.200,4.500,1752,16164,-1908
1,213189,0,22.200,4.500,1684,16288,-1988
1,215189,0,22.200,4.500,1692,16180,-1956
1,218189,0,22.200,4.500,1772,16300,-2016
1,220189,0,22.200,4.500,1660,16200,-1996
1,223189,0,22.200,4.500,1564,16156,-2192
1,225189,0,22.200,4.500,1572,16228,-2064
1,228189,0,22.200,4.500,1516,16228,-1916
1,230189,0,22.200,4.500,1524,16116,-1880
1,233189,0,22.200,4.500,1592,16148,-2004
1,235189,0,22.200,4.500,1564,16160,-2008
1,238189,0,22.200,4.500,1500,16244,-1976
1,240189,0,22.200,4.500,1536,16120,-2048
1,243189,0,22.200,4.500,1516,16220,-1956
1,245189,0,22.200,4.500,1564,16160,-2096
1,248189,0,22.200,4.500,1580,16276,-2180
1,250189,0,22.200,4.500,1584,16224,-2028
1,253189,0,22.200,4.500,1596,16220,-2028
1,255189,0,22.200,4.500,1616,16216,-2136
1,258189,0,22.200,4.500,1712,16288,-2104
1,260189,0,22.200,4.500,1580,16164,-2104
1,263189,0,22.200,4.500,1720,16164,-2136
1,265189,0,22.200,4.500,1644,16212,-2140
1,268189,0,22.200,4.500,1564,16112,-2064
1,270189,0,22.200,4.500,1636,16176,-2172
1,273189,0,22.200,4.500,1680,16076,-2132
1,275189,0,22.200,4.500,1760,16276,-2236
1,278189,0,22.200,4.500,1624,16196,-2088
1,280189,0,22.200,4.500,1668,16184,-2072
1,283189,0,22.200,4.500,1800,16276,-2112
1,285189,0,22.200,4.500,1748,16296,-2088
1,288189,0,22.200,4.500,1736,16276,-2160
1,290189,0,22.200,4.500,1684,16316,-2112
1,293189,0,22.200,4.500,1544,16284,-2040
1,295189,0,22.200,4.500,1588,16224,-2128
1,298189,0,22.200,4.500,1684,16116,-2092
1,300189,0,22.200,4.500,1708,16216,-2080
1,303189,0,22.200,4.500,1620,16116,-2072
1,305189,0,22.200,4.500,1632,16212,-1788
1,308189,0,22.200,4.500,1676,16080,-1908
1,310189,0,22.200,4.500,1568,16068,-1980
1,313189,0,22.200,4.500,1640,16192,-2168
1,315189,0,22.200,4.500,1616,16128,-1940
1,318189,0,22.200,4.500,1500,16116,-2180
1,320189,0,22.200,4.500,1460,16264,-1976
1,323189,0,22.200,4.500,1568,16344,-2092
1,325189,0,22.200,4.500,1516,16184,-2044
1,328189,0,22.200,4.500,1712,16200,-2144
1,330189,0,22.200,4.500,1524,16136,-2116
1,333189,0,22.200,4.500,1584,16172,-1968
1,335189,0,22.200,4.500,1604,16096,-2140
1,338189,0,22.200,4.500,1596,16188,-2116
1,340189,0,22.200,4.500,1560,16140,-2092
1,343189,0,22.200,4.500,1640,16200,-2060
1,345189,0,22.200,4.500,1704,16148,-2168
1,348189,0,22.200,4.500,1580,16168,-2072
1,350189,0,22.200,4.500,1620,16136,-2128
1,353189,0,22.200,4.500,1620,16288,-2052
1,355189,0,22.200,4.500,1652,16264,-1996
1,358189,0,22.200,4.500,1712,16288,-2124
1,360189,0,22.200,4.500,1676,16400,-1952
1,363189,0,22.200,4.500,1692,16352,-2196
1,365189,0,22.200,4.500,1680,16164,-1968
1,368189,0,22.200,4.500,1672,16200,-2176
1,370189,0,22.200,4.500,1620,16196,-1904
1,373189,0,22.200,4.500,1584,16188,-2140
1,375189,0,22.200,4.500,1560,16188,-1940
1,378189,0,22.200,4.500,1588,16116,-2024
1,380189,0,22.200,4.500,1572,16204,-2104
1,383189,0,22.200,4.500,1612,16220,-1880
1,385189,0,22.200,4.500,1632,16192,-2076
1,388189,0,22.200,4.500,1672,16328,-2084
1,390189,0,22.200,4.500,1696,16156,-1972
1,393189,0,22.200,4.500,1624,16320,-2084
1,395189,0,22.200,4.500,1644,16108,-2076
1,398189,0,22.200,4.500,1720,16132,-1984
