trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,1344,0,7.5,9.5,1628,16024,-1436,,,,,
1,4184,0,7.5,9.5,1576,16092,-1508,,,,,
1,6184,0,7.5,9.5,1936,16200,-1516,,,,,
1,9184,0,7.5,9.5,1496,16228,-1676,,,,,
1,11184,0,7.5,9.5,1920,16144,-1664,,,,,
1,14184,0,7.5,9.5,1832,16228,-1656,,,,,
1,16184,0,7.5,9.5,1568,16276,-1688,,,,,
1,19184,0,7.5,9.5,1448,16288,-1596,,,,,
1,21184,0,7.5,9.5,1756,16312,-1692,,,,,
1,24184,0,7.5,9.5,1772,16260,-1768,,,,,
1,26184,0,7.5,9.5,1628,16300,-1824,,,,,
1,29184,0,7.5,9.5,1628,16372,-1688,,,,,
1,31184,0,7.5,9.5,1644,16244,-1660,,,,,
1,34184,0,7.5,9.5,1736,16292,-1792,,,,,
1,36184,0,7.5,9.5,1836,16200,-1616,,,,,
1,39184,0,7.5,9.5,1960,16240,-1848,,,,,
1,41184,0,7.5,9.5,1440,16180,-1944,,,,,
1,44184,0,7.5,9.5,1792,16288,-1696,,,,,
1,46184,0,7.5,9.5,1776,16076,-1576,,,,,
1,49184,0,7.5,9.5,1516,16216,-1772,,,,,
1,51184,0,7.5,9.5,1908,16172,-1656,,,,,
1,54184,0,7.5,9.5,1656,16212,-1532,,,,,
1,56184,0,7.5,9.5,1540,16216,-1588,,,,,
1,59184,0,7.5,9.5,1696,16340,-1604,,,,,
1,61184,0,7.5,9.5,1648,16212,-1512,,,,,
1,64184,0,7.5,9.5,1652,16140,-1548,,,,,
1,66184,0,7.5,9.5,1596,16312,-1568,,,,,
1,69184,0,7.5,9.5,1592,16244,-1648,,,,,
1,71184,0,7.5,9.5,1788,16268,-1628,,,,,
1,74184,0,7.5,9.5,1736,16252,-1784,,,,,
1,76184,0,7.5,9.5,1768,16020,-1816,,,,,
1,79184,0,7.5,9.5,1816,16108,-1732,,,,,
1,81184,0,7.5,9.5,1728,16236,-1924,,,,,
1,84184,0,7.5,9.5,1672,16172,-1764,,,,,
1,86184,0,7.5,9.5,1760,16200,-1776,,,,,
1,89184,0,7.5,9.5,1760,16232,-1732,,,,,
1,91184,0,7.5,9.5,1612,16224,-1836,,,,,
1,94184,0,7.5,9.5,1756,16248,-1624,,,,,
1,96184,0,7.5,9.5,1584,16228,-1748,,,,,
1,99184,0,7.5,9.5,1788,16256,-1500,,,,,
1,101184,0,7.5,9.5,1504,16380,-1696,,,,,
1,104184,0,7.5,9.5,1732,16272,-1644,,,,,
1,106184,0,7.5,9.5,1544,16260,-1584,,,,,
1,109184,0,7.5,9.5,1816,16212,-1516,,,,,
1,111184,0,7.5,9.5,1684,16200,-1636,,,,,
1,114184,0,7.5,9.5,1548,16068,-1764,,,,,
1,116184,0,7.5,9.5,1872,16188,-1608,,,,,
1,119184,0,7.5,9.5,1796,16204,-1668,,,,,
1,121184,0,7.5,9.5,1740,15988,-1676,,,,,
1,124184,0,7.5,9.5,1668,16180,-1752,,,,,
1,126184,0,7.5,9.5,1736,16096,-1720,,,,,
1,129184,0,7.5,9.5,1712,16176,-1648,,,,,
1,131184,0,7.5,9.5,1636,16292,-1888,,,,,
1,134184,0,7.5,9.5,1636,16260,-1700,,,,,
