trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,1348,0,7.200,9.500,816,16220,-2092
1,4189,0,7.200,9.500,840,16280,-2260
1,6189,0,7.200,9.500,836,16232,-2148
1,9189,0,7.200,9.500,808,16280,-2084
1,11189,0,7.200,9.500,704,16208,-2164
1,14189,0,7.200,9.500,808,16240,-1952
1,16189,0,7.200,9.500,880,16280,-2140
1,19189,0,7.200,9.500,712,16288,-2116
1,21189,0,7.200,9.500,724,16288,-2156
1,24189,0,7.200,9.500,628,16180,-2152
1,26189,0,7.200,9.500,752,16316,-2176
1,29189,0,7.200,9.500,628,16196,-2152
1,31189,0,7.200,9.500,704,16296,-2152
1,34189,0,7.200,9.500,820,16292,-2112
1,36189,0,7.200,9.500,744,16220,-2280
1,39189,0,7.200,9.500,720,16156,-2136
1,41189,0,7.200,9.500,664,16148,-2236
1,44189,0,7.200,9.500,584,16296,-2200
1,46189,0,7.200,9.500,636,16304,-2016
1,49189,0,7.200,9.500,784,16264,-2216
1,51189,0,7.200,9.500,740,16168,-2232
1,54189,0,7.200,9.500,744,16260,-2172
1,56189,0,7.200,9.500,812,16224,-2156
1,59189,0,7.200,9.500,676,16328,-2304
1,61189,0,7.200,9.500,824,16272,-2076
1,64189,0,7.200,9.500,792,16196,-2188
1,66189,0,7.200,9.500,780,16336,-2168
1,69189,0,7.200,9.500,844,16448,-2172
1,71189,0,7.200,9.500,812,16196,-1956
1,74189,0,7.200,9.500,852,16232,-2064
1,76189,0,7.200,9.500,756,16308,-2208
1,79189,0,7.200,9.500,788,16328,-2200
1,81189,0,7.200,9.500,620,16320,-2192
1,84189,0,7.200,9.500,656,16180,-2176
1,86189,0,7.200,9.500,792,16324,-2244
1,89189,0,7.200,9.500,824,16280,-2252
1,91189,0,7.200,9.500,804,16300,-2108
1,94189,0,7.200,9.500,816,16240,-1944
1,96189,0,7.200,9.500,840,16200,-2060
1,99189,0,7.200,9.500,852,16316,-2132
1,101189,0,7.200,9.500,772,16256,-2088
1,104189,0,7.200,9.500,652,16164,-2120
1,106189,0,7.200,9.500,684,16316,-2056
1,109189,0,7.200,9.500,792,16280,-2140
1,111189,0,7.200,9.500,812,16204,-2216
1,114189,0,7.200,9.500,696,16224,-2112
1,116189,0,7.200,9.500,640,16164,-2100
1,119189,0,7.200,9.500,784,16160,-2076
1,121189,0,7.200,9.500,600,16200,-2212
1,124189,0,7.200,9.500,956,16228,-2156
1,126189,0,7.200,9.500,848,16348,-2148
1,129189,0,7.200,9.500,800,16240,-2212
1,131189,0,7.200,9.500,824,16272,-2168
1,134189,0,7.200,9.500,892,16316,-2020
1,136189,0,7.200,9.500,704,16252,-2144
1,139189,0,7.200,9.500,720,16364,-2188
1,141189,0,7.200,9.500,712,16296,-2068
1,144189,0,7.200,9.500,872,16380,-2004
1,146189,0,7.200,9.500,668,16208,-1976
1,149189,0,7.200,9.500,828,16264,-2404
1,151189,0,7.200,9.500,860,16276,-2148
1,154189,0,7.200,9.500,756,16304,-2168
1,156189,0,7.200,9.500,820,16264,-1996
1,159189,0,7.200,9.500,832,16364,-2128
1,161189,0,7.200,9.500,884,16224,-2284
1,164189,0,7.200,9.500,848,16208,-2184
1,166189,0,7.200,9.500,616,16232,-2108
1,169189,0,7.200,9.500,676,16284,-2140
1,171189,0,7.200,9.500,696,16320,-2196
1,174189,0,7.200,9.500,468,16220,-2148
1,176189,0,7.200,9.500,780,16360,-2024
1,179189,0,7.200,9.500,648,16200,-2116
1,181189,0,7.200,9.500,800,16292,-2136
1,184189,0,7.200,9.500,700,16264,-2184
1,186189,0,7.200,9.500,752,16232,-2204
1,189189,0,7.200,9.500,796,16364,-2152
1,191189,0,7.200,9.500,748,16212,-2168
1,194189,0,7.200,9.500,800,16176,-2192
1,196189,0,7.200,9.500,744,16176,-2188
1,199189,0,7.200,9.500,628,16216,-2208
1,201189,0,7.200,9.500,800,16264,-2256
1,204189,0,7.200,9.500,720,16208,-2128
1,206189,0,7.200,9.500,768,16356,-2164
1,209189,0,7.200,9.500,728,16340,-2052
1,211189,0,7.200,9.500,664,16272,-2192
1,214189,0,7.200,9.500,720,16300,-2108
1,216189,0,7.200,9.500,928,16316,-2132
1,219189,0,7.200,9.500,724,16308,-2124
1,221189,0,7.200,9.500,908,16284,-2072
1,224189,0,7.200,9.500,764,16260,-2044
1,226189,0,7.200,9.500,824,16324,-2036
1,229189,0,7.200,9.500,736,16312,-2184
1,231189,0,7.200,9.500,788,16260,-2156
